# x_m,y_m,w_tr_right_m,w_tr_left_m
-189.04007659870473,-547.511962245673,6.739735547018965,6.739735547018965
-188.484545136225,-547.9481463294251,6.742067525600898,6.742067525600898
-187.92538007049538,-548.3795983157158,6.739047213699987,6.739047213699987
-187.3695008615715,-548.8153435310705,6.741106510789167,6.741106510789167
-186.8139526570562,-549.2515089376841,6.742747404646393,6.742747404646393
-186.25808065677995,-549.6872613591402,6.74447173020443,6.74447173020443
-185.70358645631666,-550.1247419013962,6.7483777065570045,6.7483777065570045
-185.14795438055665,-550.5608000620936,6.749636758976437,6.749636758976437
-184.59118425351852,-550.9953911239418,6.748010516902703,6.748010516902703
-184.03490556500208,-551.4306240251356,6.7495729448211685,6.7495729448211685
-183.47848376778228,-551.8656714798877,6.749186834109779,6.749186834109779
-182.9219001393238,-552.3005130865173,6.751276651568878,6.751276651568878
-182.3636493895321,-552.7332019902639,6.750838285648206,6.750838285648206
-181.80667172923475,-553.1675359825572,6.753289547654211,6.753289547654211
-181.25000306983955,-553.6022697569583,6.755137841964794,6.755137841964794
-180.6926049298574,-554.0360621766554,6.757781007896062,6.757781007896062
-180.13476592879107,-554.4692906238377,6.758355447617497,6.758355447617497
-179.5780249759366,-554.9039327996302,6.759462050413236,6.759462050413236
-179.0220361964635,-555.3394831820325,6.764893248627321,6.764893248627321
-177.91556306441004,-556.2976741299303,6.737401782467202,6.737401782467202
-177.63513346080794,-556.5166550255734,6.705668081896938,6.705668081896938
-177.35513540662737,-556.7361888114806,6.693426705259742,6.693426705259742
-176.80245027809315,-557.1758646305432,6.685926240099076,6.685926240099076
-176.25064218607258,-557.616649968453,6.678346231370615,6.678346231370615
-175.69453301853218,-558.0520707871478,6.680423260898312,6.680423260898312
-175.13512399375364,-558.4827997302871,6.685210123789341,6.685210123789341
-174.57764651020747,-558.9159364942174,6.6918364152220144,6.6918364152220144
-174.02418423411103,-559.3545967308534,6.686884659115418,6.686884659115418
-173.46833287417095,-559.7903421902395,6.682022698087053,6.682022698087053
-172.917364135767,-560.2321357246528,6.67276641046646,6.67276641046646
-172.36363304976987,-560.6705815683629,6.670589806299548,6.670589806299548
-171.81146459077058,-561.1109242666582,6.664231447314094,6.664231447314094
-171.25879408773454,-561.5505836377909,6.656175064748664,6.656175064748664
-170.70550779845374,-561.9895779794571,6.6508837421259805,6.6508837421259805
-170.14999204850983,-562.4257217360386,6.652528214709834,6.652528214709834
-169.59373805458404,-562.860966269142,6.65242084335241,6.65242084335241
-169.03430115800438,-563.2921015136371,6.648570993634528,6.648570993634528
-168.47787491405683,-563.7271559943035,6.648725416601754,6.648725416601754
-167.92439019885109,-564.1658960263626,6.646685045669773,6.646685045669773
-167.36720849001108,-564.5999702942163,6.6461349865482395,6.6461349865482395
-166.81117676493471,-565.0353816631591,6.638924469262888,6.638924469262888
-166.25511737626402,-565.4708686680384,6.636543369900573,6.636543369900573
-165.69890917361545,-565.9061783157634,6.633367074448045,6.633367074448045
-165.14193180053377,-566.3405189973663,6.632333401127153,6.632333401127153
-164.5847222877079,-566.7745607161241,6.63099022550188,6.63099022550188
-164.0272545556006,-567.2082728537372,6.630313448516634,6.630313448516634
-163.47021764502063,-567.6425372200924,6.630953994012614,6.630953994012614
-162.91349143477373,-568.0772064400661,6.629940177722606,6.629940177722606
-162.35283114026652,-568.5067035782035,6.624558376206457,6.624558376206457
-161.79656618364794,-568.9419625131457,6.624296689467511,6.624296689467511
-161.23945740107922,-569.3761325187672,6.62339014758337,6.62339014758337
-160.68332067209462,-569.8115487936539,6.62455476112621,6.62455476112621
-160.12793642318928,-570.2479207175188,6.624844546483306,6.624844546483306
-159.5717296933094,-570.6832443040743,6.6270282941159575,6.6270282941159575
-159.0154181214512,-571.1184355151146,6.627689810147502,6.627689810147502
-158.45964320176688,-571.5543073400081,6.630365744782239,6.630365744782239
-157.90294122289112,-571.9889927807095,6.633149426495952,6.633149426495952
-157.34679742210932,-572.4243971128283,6.6352844684574,6.6352844684574
-156.7914467784002,-572.860812855009,6.6369203732645285,6.6369203732645285
-156.23513196384533,-573.296000806912,6.638476478771105,6.638476478771105
-155.678753274675,-573.731103190085,6.640684649496905,6.640684649496905
-155.12244759382799,-574.1663004469599,6.642384624199212,6.642384624199212
-154.56621968361574,-574.6016000862693,6.6434705861291175,6.6434705861291175
-154.00825302433125,-575.0346592867543,6.645130268000347,6.645130268000347
-153.45249040277795,-575.470551977785,6.647103685493459,6.647103685493459
-152.89592965144328,-575.9054256180635,6.647591218238497,6.647591218238497
-152.3397087317942,-576.3407328737999,6.649552217318516,6.649552217318516
-151.78460191607638,-576.7774450429165,6.6532070368252905,6.6532070368252905
-150.95216712627098,-577.4285414329906,6.65511187328467,6.65511187328467
-150.67069291377737,-577.6461721886008,6.6540228416345855,6.6540228416345855
-149.83678592520397,-578.2953626673323,6.6577097714506435,6.6577097714506435
-149.2816388757522,-578.7320356223149,6.658865109116582,6.658865109116582
-148.72603476810133,-579.1681291086737,6.6595988879129395,6.6595988879129395
-148.16959676499846,-579.6031498453295,6.659718581584722,6.659718581584722
-147.6131242623344,-580.0381236667937,6.658467493542291,6.658467493542291
-147.05748831562377,-580.4741794895214,6.659409610873971,6.659409610873971
-146.4999712234576,-580.9078234237086,6.658666073666973,6.658666073666973
-145.9446519843902,-581.344281967506,6.6596121365072625,6.6596121365072625
-145.38974575445133,-581.7812633196761,6.66068392842528,6.66068392842528
-144.83636613277088,-582.2201594305839,6.658228769029371,6.658228769029371
-144.2809145314478,-582.6564560702421,6.658920842478953,6.658920842478953
-143.72492810730967,-583.0920009553076,6.65267125251942,6.65267125251942
-143.16983437452558,-583.5287515962887,6.652517749261984,6.652517749261984
-142.61475881302772,-583.9655189635953,6.651089681058239,6.651089681058239
-142.06026821493765,-584.4030267237249,6.6492442189621395,6.6492442189621395
-141.50532925557206,-584.8399724927649,6.648216550672339,6.648216550672339
-140.95166022398962,-585.278486930889,6.64313819537536,6.64313819537536
-140.3965724008093,-585.7152442097162,6.64277636800843,6.64277636800843
-139.8411516300144,-586.1515282711433,6.638351578884982,6.638351578884982
-139.2854804680901,-586.5875181544077,6.636224575489443,6.636224575489443
-138.72999743587252,-587.0237682868608,6.636317459519581,6.636317459519581
-138.1733684388888,-587.4585529637202,6.634906457522033,6.634906457522033
-137.61825408132597,-587.8952727222852,6.634902687541361,6.634902687541361
-137.06388934025958,-588.3329270398895,6.633697086428165,6.633697086428165
-136.5107283893246,-588.7720770409398,6.630375523791669,6.630375523791669
-135.9552347334236,-589.2083182371987,6.630878387572783,6.630878387572783
-135.4018959980527,-589.6472706570995,6.628326300656688,6.628326300656688
-134.84634429105347,-590.0834357280685,6.628624625922979,6.628624625922979
-134.29121239469572,-590.5201293996054,6.628661019023583,6.628661019023583
-133.73702547082087,-590.9580096622201,6.627038617135661,6.627038617135661
-133.18156461880085,-591.3942934928183,6.628311817932783,6.628311817932783
-132.62228645886034,-591.8256184239783,6.623630100348701,6.623630100348701
-132.06686914404992,-592.2619628135355,6.625418374049118,6.625418374049118
-131.51373103677312,-592.7011642123014,6.624361995817775,6.624361995817775
-130.9588885642886,-593.1382157153537,6.626797886263901,6.626797886263901
-130.40298760617088,-593.5739310452486,6.628162239921074,6.628162239921074
-129.84724638735395,-594.0098518939024,6.628910932176461,6.628910932176461
-129.29265286623357,-594.4472223649242,6.631624245266413,6.631624245266413
-128.73609312979391,-594.882097373694,6.632917280087949,6.632917280087949
-128.17920411555792,-595.3165420416065,6.633507098353352,6.633507098353352
-127.62087276911575,-595.7491268710638,6.631997963590042,6.631997963590042
-127.06556024495461,-596.1855827943932,6.629914915632843,6.629914915632843
-126.50748167123787,-596.6184873901946,6.6275191374041755,6.6275191374041755
-125.95115331677782,-597.0536670123092,6.628426893802703,6.628426893802703
-125.39728002724068,-597.4919339203884,6.624674736016679,6.624674736016679
-124.84153547754076,-597.9278544805447,6.625108305968268,6.625108305968268
-124.28574680585862,-598.3637143094609,6.624309507444193,6.624309507444193
-123.73052508809423,-598.8003002531002,6.623423343304796,6.623423343304796
-123.17248634521448,-599.2332509848939,6.619026212984081,6.619026212984081
-122.61705878853277,-599.6695673973554,6.617182368927318,6.617182368927318
-122.06199046087141,-600.106342384697,6.616372445578334,6.616372445578334
-121.23230582821449,-600.7609276341294,6.61520961495403,6.61520961495403
-120.95170652638134,-600.9796938749075,6.611787214269201,6.611787214269201
-120.39710783480092,-601.4170646229277,6.612922091093108,6.612922091093108
-119.84080025238133,-601.8522607664261,6.611814416562453,6.611814416562453
-119.28543277675362,-602.288664701734,6.610389226327275,6.610389226327275
-118.72636266317244,-602.7202746265338,6.6061858946057335,6.6061858946057335
-118.169148375677,-603.1543032900875,6.604727846307986,6.604727846307986
-117.61023194037764,-603.586134727595,6.606589369517806,6.606589369517806
-117.05256612683544,-604.0195837643182,6.604151223384533,6.604151223384533
-116.49604712681251,-604.4545128968591,6.603508319334877,6.603508319334877
